su,Strata,ns,X,ew,Y,utm_n,utm_z,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4
319,3,N,14.15215,E,23.37589,34,P,756470.00 ,1565855.00 ,756720.00 ,1566105.00 ,756720.00 ,1566605.00 ,757220.00 ,1566605.00 ,757220.00 ,1566105.00 
320,3,N,14.15194,E,23.75916,34,P,797869.00 ,1566285.00 ,798119.00 ,1566535.00 ,798119.00 ,1567035.00 ,798619.00 ,1567035.00 ,798619.00 ,1566535.00 
321,3,N,14.15179,E,24.14242,35,P,191498.00 ,1566395.00 ,191748.00 ,1566645.00 ,191748.00 ,1567145.00 ,192248.00 ,1567145.00 ,192248.00 ,1566645.00 
322,3,N,14.15169,E,24.52569,35,P,232900.00 ,1565913.00 ,233150.00 ,1566163.00 ,233150.00 ,1566663.00 ,233650.00 ,1566663.00 ,233650.00 ,1566163.00 
323,3,N,14.15164,E,24.90895,35,P,274290.00 ,1565505.00 ,274540.00 ,1565755.00 ,274540.00 ,1566255.00 ,275040.00 ,1566255.00 ,275040.00 ,1565755.00 
325,3,N,14.15173,E,25.67548,35,P,357047.00 ,1564911.00 ,357297.00 ,1565161.00 ,357297.00 ,1565661.00 ,357797.00 ,1565661.00 ,357797.00 ,1565161.00 
326,3,N,14.15186,E,26.05874,35,P,398416.00 ,1564725.00 ,398666.00 ,1564975.00 ,398666.00 ,1565475.00 ,399166.00 ,1565475.00 ,399166.00 ,1564975.00 
327,3,N,14.15205,E,26.44201,35,P,439781.00 ,1564614.00 ,440031.00 ,1564864.00 ,440031.00 ,1565364.00 ,440531.00 ,1565364.00 ,440531.00 ,1564864.00 
347,3,N,13.80246,E,25.29226,35,P,315399.00 ,1526536.00 ,315649.00 ,1526786.00 ,315649.00 ,1527286.00 ,316149.00 ,1527286.00 ,316149.00 ,1526786.00 
348,3,N,13.80253,E,25.67559,35,P,356843.00 ,1526282.00 ,357093.00 ,1526532.00 ,357093.00 ,1527032.00 ,357593.00 ,1527032.00 ,357593.00 ,1526532.00 
349,3,N,13.80266,E,26.05892,35,P,398281.00 ,1526101.00 ,398531.00 ,1526351.00 ,398531.00 ,1526851.00 ,399031.00 ,1526851.00 ,399031.00 ,1526351.00 
350,3,N,13.80284,E,26.44224,35,P,439716.00 ,1525992.00 ,439966.00 ,1526242.00 ,439966.00 ,1526742.00 ,440466.00 ,1526742.00 ,440466.00 ,1526242.00 
351,3,N,13.80309,E,26.82557,35,P,481147.00 ,1525956.00 ,481397.00 ,1526206.00 ,481397.00 ,1526706.00 ,481897.00 ,1526706.00 ,481897.00 ,1526206.00 
369,3,N,13.4539,E,25.6757,35,P,356645.00 ,1487717.00 ,356895.00 ,1487967.00 ,356895.00 ,1488467.00 ,357395.00 ,1488467.00 ,357395.00 ,1487967.00 
370,3,N,13.45402,E,26.05909,35,P,398151.00 ,1487540.00 ,398401.00 ,1487790.00 ,398401.00 ,1488290.00 ,398901.00 ,1488290.00 ,398901.00 ,1487790.00 
373,3,N,13.45475,E,27.20926,35,P,522650.00 ,1487435.00 ,522900.00 ,1487685.00 ,522900.00 ,1488185.00 ,523400.00 ,1488185.00 ,523400.00 ,1487685.00 
387,3,N,13.10572,E,24.90891,35,P,273290.00 ,1449766.00 ,273540.00 ,1450016.00 ,273540.00 ,1450516.00 ,274040.00 ,1450516.00 ,274040.00 ,1450016.00 
388,3,N,13.10574,E,25.29236,35,P,314875.00 ,1449455.00 ,315125.00 ,1449705.00 ,315125.00 ,1450205.00 ,315625.00 ,1450205.00 ,315625.00 ,1449705.00 
389,3,N,13.10581,E,25.67581,35,P,356453.00 ,1449213.00 ,356703.00 ,1449463.00 ,356703.00 ,1449963.00 ,357203.00 ,1449963.00 ,357203.00 ,1449463.00 
390,3,N,13.10594,E,26.05926,35,P,398024.00 ,1449041.00 ,398274.00 ,1449291.00 ,398274.00 ,1449791.00 ,398774.00 ,1449791.00 ,398774.00 ,1449291.00 
393,3,N,13.10667,E,27.20962,35,P,522721.00 ,1448941.00 ,522971.00 ,1449191.00 ,522971.00 ,1449691.00 ,523471.00 ,1449691.00 ,523471.00 ,1449191.00 
412,3,N,12.75858,E,26.44295,35,P,439534.00 ,1410503.00 ,439784.00 ,1410753.00 ,439784.00 ,1411253.00 ,440284.00 ,1411253.00 ,440284.00 ,1410753.00 
413,3,N,12.75882,E,26.82646,35,P,481163.00 ,1410471.00 ,481413.00 ,1410721.00 ,481413.00 ,1411221.00 ,481913.00 ,1411221.00 ,481913.00 ,1410721.00 
430,3,N,12.41155,E,26.44318,35,P,439478.00 ,1372126.00 ,439728.00 ,1372376.00 ,439728.00 ,1372876.00 ,440228.00 ,1372876.00 ,440228.00 ,1372376.00 
431,3,N,12.41179,E,26.82676,35,P,481170.00 ,1372095.00 ,481420.00 ,1372345.00 ,481420.00 ,1372845.00 ,481920.00 ,1372845.00 ,481920.00 ,1372345.00 
442,3,N,12.06503,E,26.44342,35,P,439425.00 ,1333806.00 ,439675.00 ,1334056.00 ,439675.00 ,1334556.00 ,440175.00 ,1334556.00 ,440175.00 ,1334056.00 
443,3,N,12.06527,E,26.82706,35,P,481178.00 ,1333777.00 ,481428.00 ,1334027.00 ,481428.00 ,1334527.00 ,481928.00 ,1334527.00 ,481928.00 ,1334027.00 
