"su_su_no","plot_plot_no","tree_lucs","lucc","tree_no","tree_or_stump","tree_species_code","tree_species_scientific_name","tree_species_vernacular_name","tree_species_language_code","tree_species_language_variety","other_species","tree_axis_distance","tree_axis_distance_unit_name","tree_left_axis","tree_left_axis_unit_name","tree_right_axis","tree_right_axis_unit_name","diameter","diameter_unit_name","tree_dbh","tree_dbh_unit_name","tree_diameter_height","tree_diameter_height_unit_name","years_since_cut","tree_height","tree_height_unit_name","tree_bole_height","tree_bole_height_unit_name","stem_quality","crown_condition","overall_tree_condition","causative_agent.1.","causative_agent_qualifier.1.","causative_agent.2.","causative_agent_qualifier.2.","causative_agent.3.","causative_agent_qualifier.3.","decomposition_status","branch1_diameter","branch1_diameter_unit_name","branch1_length","branch1_length_unit_name","branch2_diameter","branch2_diameter_unit_name","branch2_length","branch2_length_unit_name","branch3_diameter","branch3_diameter_unit_name","branch3_length","branch3_length_unit_name","branch4_diameter","branch4_diameter_unit_name","branch4_length","branch4_length_unit_name","x_head","y_head","x_utm","y_utm","srs"
928,2,1,"FSD",35,"tree","ANO/LEI","Anogeissus leiocarpus",NA,NA,NA,NA,94,NA,0,NA,1,NA,24,NA,22,NA,NA,NA,NA,6,NA,2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565519.998522027,1181917.33222996,"EPSG:32635"
928,2,1,"FSD",36,"tree","ANO/LEI","Anogeissus leiocarpus",NA,NA,NA,NA,94,NA,0,NA,5,NA,25,NA,24,NA,1.3,NA,NA,7,NA,2,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565519.998522027,1181913.33222996,"EPSG:32635"
928,2,1,"FSD",37,"tree","BAL/AEG","Balanites aegyptiaca",NA,NA,NA,NA,98,NA,5,NA,0,NA,32,NA,30,NA,1.3,NA,NA,8,NA,1.6,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565523.998522027,1181923.33222996,"EPSG:32635"
928,2,1,"FSD",38,"tree","ACA/SEN","Acacia senegal",NA,NA,NA,NA,154,NA,0,NA,4,NA,18,NA,15,NA,0.5,NA,NA,5,NA,0.7,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565579.998522027,1181914.33222996,"EPSG:32635"
928,2,1,"FSD",39,"tree","BAL/AEG","Balanites aegyptiaca",NA,NA,NA,NA,165,NA,6,NA,0,NA,13,NA,13,NA,1.3,NA,NA,7,NA,3,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565590.998522027,1181924.33222996,"EPSG:32635"
928,2,1,"FSD",40,"tree","BAL/AEG","Balanites aegyptiaca",NA,NA,NA,NA,185,NA,9,NA,0,NA,45,NA,40,NA,1.3,NA,NA,7,NA,2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565610.998522027,1181927.33222996,"EPSG:32635"
928,2,1,"FSD",41,"tree","BAL/AEG","Balanites aegyptiaca",NA,NA,NA,NA,218,NA,0,NA,6,NA,26,NA,19,NA,NA,NA,NA,6,NA,1.5,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565643.998522027,1181912.33222996,"EPSG:32635"
928,2,1,"FSD",42,"tree","ALB/AMA","Albizia amara",NA,NA,NA,NA,238,NA,8,NA,0,NA,29,NA,19,NA,1.3,NA,NA,45,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565663.998522027,1181926.33222996,"EPSG:32635"
928,3,1,"FSD",1,"tree","ALB/AMA","Albizia amara",NA,NA,NA,NA,6,NA,8,NA,0,NA,41,NA,40,NA,0.5,NA,NA,4,NA,0.6,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565931.263754954,1181913.77152385,565939.263754954,1181907.77152385,"EPSG:32635"
928,3,1,"FSD",2,"tree","BAL/AEG","Balanites aegyptiaca",NA,NA,NA,NA,52,NA,0,NA,6,NA,51,NA,42,NA,1.3,NA,NA,9,NA,1.7,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565931.263754954,1181913.77152385,565925.263754954,1181861.77152385,"EPSG:32635"
