SU,strata,NS,Lat,EW,Lon
940,4,N,10.69665,E,33.35436
941,4,N,10.69791,E,33.73824
942,4,N,10.69922,E,34.12213
964,4,N,10.35500,E,34.12362
981,4,N,10.01121,E,34.12511
992,4,N,9.66783,E3,4.12660
1026,5,N,12.42850,E,34.49825
165,2,N,14.86187,E,32.18860
311,3,N,14.51043,E,31.80658
341,3,N,14.16064,E,31.80769
364,3,N,13.81142,E,31.80880
437,3,N,12.42335,E,32.96396
544,4,N,12.24726,E,32.00560
545,4,N,12.24832,E,32.38921
546,4,N,12.25061,E,33.15642
804,4,N,12.42008,E,31.81324
805,4,N,12.42111,E,32.19682
826,4,N,12.07458,E,32.19799
827,4,N,12.07567,E,32.58163
1007,5,N,15.03784,E,32.37957
1008,5,N,12.24944,E,32.77281
1019,5,N,14.51147,E,32.18978
1021,5,N,13.46491,E,32.57668
124,2,N,16.96814,E,26.82289
136,2,N,16.26025,E,26.82349
149,2,N,15.55520,E,22.99394
151,2,N,15.55445,E,24.52600
152,2,N,15.55443,E,25.29202
185,2,N,16.61320,E,24.90905
216,2,N,15.20294,E,24.14284
219,2,N,15.20320,E,26.44130
244,3,N,15.20309,E,23.75977
261,3,N,14.85195,E,24.14270
289,3,N,14.50194,E,23.37616
290,3,N,14.50172,E,23.75936
291,3,N,14.50157,E,24.14256
292,3,N,14.50147,E,24.52576
293,3,N,14.50143,E,24.90897
295,3,N,14.50151,E,25.67537
298,3,N,14.50207,E,26.82497
299,3,N,14.50237,E,27.20818
319,3,N,14.15215,E,23.37589
320,3,N,14.15194,E,23.75916
321,3,N,14.15179,E,24.14242
322,3,N,14.15169,E,24.52569
323,3,N,14.15164,E,24.90895
325,3,N,14.15173,E,25.67548
326,3,N,14.15186,E,26.05874
327,3,N,14.15205,E,26.44201
347,3,N,13.80246,E,25.29226
348,3,N,13.80253,E,25.67559
349,3,N,13.80266,E,26.05892
350,3,N,13.80284,E,26.44224
351,3,N,13.80309,E,26.82557
369,3,N,13.45390,E,25.67570
370,3,N,13.45402,E,26.05909
373,3,N,13.45475,E,27.20926
387,3,N,13.10572,E,24.90891
388,3,N,13.10574,E,25.29236
389,3,N,13.10581,E,25.67581
390,3,N,13.10594,E,26.05926
393,3,N,13.10667,E,27.20962
412,3,N,12.75858,E,26.44295
413,3,N,12.75882,E,26.82646
430,3,N,12.41155,E,26.44318
431,3,N,12.41179,E,26.82676
442,3,N,12.06503,E,26.44342
443,3,N,12.06527,E,26.82706
461,4,N,13.97706,E,24.33400
470,4,N,13.62869,E,23.18382
471,4,N,13.62845,E,23.56718
472,4,N,13.62827,E,23.95053
473,4,N,13.62814,E,24.33389
474,4,N,13.62807,E,24.71725
488,4,N,13.27971,E,24.71720
737,4,N,13.80295,E,23.37563
738,4,N,13.80274,E,23.75896
739,4,N,13.80258,E,24.14228
740,4,N,13.80249,E,24.52561
751,4,N,13.45411,E,23.75875
752,4,N,13.45395,E,24.14214
753,4,N,13.45385,E,24.52553
287,3,N,14.50253,E,22.60976
288,3,N,14.50221,E,22.99296
318,3,N,14.15242,E,22.99263
345,3,N,13.80322,E,22.99230
460,4,N,13.97826,E,22.41752
468,4,N,13.62935,E,22.41710
469,4,N,13.62899,E,22.80046
482,4,N,13.28099,E,22.41668
483,4,N,13.28063,E,22.80010
496,4,N,12.93358,E,22.03278
497,4,N,12.93317,E,22.41626
498,4,N,12.93282,E,22.79974
735,4,N,13.80393,E,22.22565
736,4,N,13.80355,E,22.60898
748,4,N,13.45491,E,22.60859
749,4,N,13.45459,E,22.99198
761,4,N,13.10721,E,22.22474
762,4,N,13.10683,E,22.60820
775,4,N,12.75966,E,22.22429
776,4,N,12.75928,E,22.60781
791,4,N,12.41225,E,22.60741
410,3,N,12.75826,E,25.67592
427,3,N,12.41116,E,25.29245
428,3,N,12.41124,E,25.67603
429,3,N,12.41136,E,26.05961
439,3,N,12.06464,E,25.29250
440,3,N,12.06472,E,25.67614
441,3,N,12.06484,E,26.05978
448,3,N,11.71862,E,25.29255
449,3,N,11.71869,E,25.67625
452,3,N,11.71924,E,26.82736
453,3,N,11.71954,E,27.21106
580,4,N,11.54581,E,25.48444
581,4,N,11.54655,E,27.01937
607,4,N,11.20059,E,25.86832
608,4,N,11.20075,E,26.25211
609,4,N,11.20096,E,26.63591
610,4,N,11.20123,E,27.01970
636,4,N,10.85574,E,25.86846
637,4,N,10.85589,E,26.25232
638,4,N,10.85610,E,26.63617
639,4,N,10.85637,E,27.02003
664,4,N,10.51148,E,26.25252
665,4,N,10.51169,E,26.63644
666,4,N,10.51196,E,27.02036
667,4,N,10.51228,E,27.40429
684,4,N,10.16749,E,26.25273
685,4,N,10.16770,E,26.63671
686,4,N,10.16797,E,27.02069
687,4,N,10.16829,E,27.40468
703,4,N,9.82392,E2,6.25293
704,4,N,9.82413,E2,6.63698
705,4,N,9.82440,E2,7.02102
706,4,N,9.82472,E2,7.40507
707,4,N,9.82510,E2,7.78912
864,4,N,11.37314,E,25.67636
865,4,N,11.37327,E,26.06013
866,4,N,11.37345,E,26.44389
867,4,N,11.37369,E,26.82766
868,4,N,11.37399,E,27.21142
895,4,N,11.02818,E,26.06030
896,4,N,11.02836,E,26.44413
897,4,N,11.02860,E,26.82795
898,4,N,11.02890,E,27.21178
924,4,N,10.68354,E,26.06047
925,4,N,10.68373,E,26.44436
926,4,N,10.68397,E,26.82825
927,4,N,10.68426,E,27.21214
948,4,N,10.33935,E,26.06065
949,4,N,10.33953,E,26.44460
950,4,N,10.33977,E,26.82855
951,4,N,10.34006,E,27.21251
969,4,N,9.99575,E2,6.44484
970,4,N,9.99599,E2,6.82885
971,4,N,9.99629,E2,7.21287
972,4,N,9.99664,E2,7.59688
985,4,N,9.65239,E2,6.44507
986,4,N,9.65263,E2,6.82915
987,4,N,9.65292,E2,7.21323
988,4,N,9.65327,E2,7.59731
426,3,N,12.41115,E,24.90888
502,4,N,12.93197,E,24.33367
503,4,N,12.93190,E,24.71716
514,4,N,12.58481,E,23.95002
515,4,N,12.58468,E,24.33357
516,4,N,12.58461,E,24.71711
533,4,N,12.23804,E,23.94985
534,4,N,12.23791,E,24.33346
554,4,N,11.89176,E,23.94968
555,4,N,11.89164,E,24.33335
556,4,N,11.89157,E,24.71702
576,4,N,11.54598,E,23.94951
577,4,N,11.54585,E,24.33324
578,4,N,11.54578,E,24.71697
579,4,N,11.54577,E,25.10071
601,4,N,11.20084,E,23.56554
602,4,N,11.20066,E,23.94933
603,4,N,11.20054,E,24.33313
604,4,N,11.20047,E,24.71693
605,4,N,11.20045,E,25.10072
606,4,N,11.20049,E,25.48452
629,4,N,10.85622,E,23.18144
630,4,N,10.85598,E,23.56530
631,4,N,10.85580,E,23.94916
632,4,N,10.85568,E,24.33302
633,4,N,10.85561,E,24.71688
634,4,N,10.85559,E,25.10074
635,4,N,10.85564,E,25.48460
657,4,N,10.51157,E,23.56507
658,4,N,10.51139,E,23.94899
659,4,N,10.51126,E,24.33291
660,4,N,10.51119,E,24.71683
661,4,N,10.51118,E,25.10076
662,4,N,10.51122,E,25.48468
663,4,N,10.51132,E,25.86860
680,4,N,10.16758,E,23.56483
681,4,N,10.16740,E,23.94882
682,4,N,10.16728,E,24.33280
683,4,N,10.16721,E,24.71679
700,4,N,9.82383,E2,3.94865
701,4,N,9.82371,E2,4.33269
702,4,N,9.82364,E2,4.71674
714,4,N,9.48067,E2,3.94847
715,4,N,9.48054,E2,4.33258
716,4,N,9.48047,E2,4.71669
720,4,N,9.13807,E2,3.56413
721,4,N,9.13789,E2,3.94830
722,4,N,9.13777,E2,4.33248
723,4,N,8.79567,E2,3.56390
724,4,N,8.79549,E2,3.94813
725,4,N,8.79537,E2,4.33237
767,4,N,13.10577,E,24.52545
780,4,N,12.75832,E,24.14186
781,4,N,12.75822,E,24.52538
795,4,N,12.41129,E,24.14172
796,4,N,12.41119,E,24.52530
814,4,N,12.06492,E,23.75794
815,4,N,12.06477,E,24.14158
816,4,N,12.06467,E,24.52522
837,4,N,11.71890,E,23.75774
838,4,N,11.71874,E,24.14144
839,4,N,11.71864,E,24.52514
840,4,N,11.71860,E,24.90885
859,4,N,11.37335,E,23.75754
860,4,N,11.37319,E,24.14130
861,4,N,11.37309,E,24.52507
862,4,N,11.37305,E,24.90883
863,4,N,11.37307,E,25.29260
887,4,N,11.02874,E,22.98968
888,4,N,11.02847,E,23.37351
889,4,N,11.02826,E,23.75733
