"su_su_no","plot_plot_no","lucs_lucs_no","lucs_photo_no","photo_lucs_description","photo_lucs_location_srs","photo_lucs_location_x","photo_lucs_location_y","photo_lucs_bearing","photo_lucs_bearing_unit_name","lucs_photo"
"0910","3","1","1","LUCS","EPSG:32636","371600.501029343","1221058.3210474","180","","120029_244.jpg"
"0910","3","1","3","LUCS","EPSG:32636","371599.557804811","1220932.25497111","180","","120029_779.jpg"
"0910","3","1","5","LUCS","EPSG:32636","371596.031227313","1220809.47502808","0","","120029_934.jpg"
"0910","4","1","2","LUCS","EPSG:32636","371601.013017532","1220557.08051735","270","","120029_1094.jpg"
"0910","4","1","3","LUCS","EPSG:32636","371472.995089588","1220558.23976977","270","","120029_1536.jpg"
"0910","4","1","6","LUCS","EPSG:32636","371345.87730984","1220561.99898739","90","","120029_1843.jpg"
"0871","1","1","1","Land use","EPSG:32635","648940.147110902","1258077.44379708","0","","74526_262.jpg"
"0871","1","1","2","Land use","EPSG:32635","648931.184413161","1258198.76506816","0","","74526_268.jpg"
"0871","1","1","3","Land use","EPSG:32635","648939.850149409","1258314.54552358","180","","74526_321.jpg"
"0871","2","1","1","LUCS","EPSG:32635","648933.266112108","1258566.78138166","90","","74526_486.jpg"
"0871","3","1","3","LUCS","EPSG:32635","649433.643269643","1258566.95349608","180","","74526_1345.jpg"
"0871","3","1","2","LUCS","EPSG:32635","649448.877464738","1258437.61647408","180","","74526_1894.jpg"
"0871","4","1","1","LUCS","EPSG:32635","649444.878299762","1258068.0581198","270","","74526_2409.jpg"
"0613","1","1","1","Land use","EPSG:32635","628085.623321364","1238876.81749515","0","","77857_320.jpg"
"0613","1","1","2","Land use","EPSG:32635","628112.386537489","1239106.89654282","180","","77857_1757.jpg"
"0613","2","1","1","Land use","EPSG:32635","628105.443639655","1239371.15590962","90","","77857_1918.jpg"
"0613","2","1","1","Land use","EPSG:32635","628227.380867128","1239370.87557873","90","","77857_2006.jpg"
"0613","3","1","1","Land use","EPSG:32635","628593.309309999","1239358.18131502","180","","77857_2036.jpg"
"0613","3","1","2","Land use","EPSG:32635","628610.773541096","1239116.86903567","0","","77857_2125.jpg"
"0613","4","1","1","Land use","EPSG:32635","628597.11910091","1238859.89204866","270","","77857_2211.jpg"
"0613","4","1","2","Land use","EPSG:32635","628469.410562942","1238866.71084378","90","","77857_2226.jpg"
"0613","4","1","3","Land use","EPSG:32635","628365.127916387","1238861.38797762","90","","77857_2243.jpg"
"0522","1","1","2","LUCS","EPSG:32636","308775.84451867","1392923.13554352","0","","125986_255.jpg"
"0522","1","1","3","LUCS","EPSG:32636","308775.848148276","1393045.93424345","0","","125986_364.jpg"
"0522","1","1","5","LUCS","EPSG:32636","308775.245584136","1393169.30529924","180","","125986_463.jpg"
"0522","2","1","6","LUCS","EPSG:32636","308776.694571229","1393418.95965756","90","","125986_622.jpg"
"0522","2","1","7","LUCS","EPSG:32636","308902.259550766","1393421.91346479","90","","125986_660.jpg"
"0522","2","1","9","LUCS","EPSG:32636","309022.656088032","1393417.8535088","270","",""
"0522","3","1","10","LUCS","EPSG:32636","309274.687397916","1393418.65433374","180","","125986_825.jpg"
"0522","3","1","12","LUCS","EPSG:32636","309276.622358967","1393296.90819627","180","","125986_927.jpg"
"0522","3","1","14","LUCS","EPSG:32636","309273.700867192","1393173.62399308","0","","125986_964.jpg"
"0522","4","1","15","LUCS","EPSG:32636","309278.595540155","1392919.98758074","270","","125986_1123.jpg"
"0522","4","1","16","LUCS","EPSG:32636","309148.686964841","1392917.16536206","270","","125986_1192.jpg"
"0522","4","1","17","LUCS","EPSG:32636","309027.251552421","1392917.61898287","90","","125986_1229.jpg"
"0640","1","1","1","Lus","EPSG:32635","544385.588478155","1200424.71336461","0","","34596_243.jpg"
"0640","1","1","2","Lus","EPSG:32635","544393.119480758","1200562.98923457","0","","34596_711.jpg"
"0640","2","1","1","Lus","EPSG:32635","544393.65609969","1200946.51343244","90","","34596_906.jpg"
"0640","2","1","2","Lus","EPSG:32635","544543.665170719","1200917.26082566","90","","34596_1160.jpg"
"0640","3","1","1","Lus","EPSG:32635","544886.423107267","1200855.82981357","180","","34596_1828.jpg"
"0640","3","1","2","Lus","EPSG:32635","544898.296255945","1200787.65665263","180","","34596_1989.jpg"
"0640","4","1","1","Lus","EPSG:32635","544754.940710161","1200389.91316862","270","","34596_2345.jpg"
"0567","3","1","2","LUCS","EPSG:32636","392582.986016571","1316546.41755839","180","","123687_255.jpg"
"0567","3","1","4","LUCS","EPSG:32636","392579.509342846","1316423.46822047","180","","123687_262.jpg"
"0567","3","1","6","LUCS","EPSG:32636","392576.805578486","1316295.90005355","0","","123687_485.jpg"
"0567","4","1","7","LUCS","EPSG:32636","392575.969636112","1316034.45198004","270","","123687_644.jpg"
"0567","4","1","8","LUCS","EPSG:32636","392457.150563887","1316048.65815456","270","","123687_806.jpg"
"0567","4","1","10","LUCS","EPSG:32636","392336.184704966","1316043.78940322","90","","123687_967.jpg"
"0567","1","1","9","LUCS","EPSG:32636","392086.928939717","1316044.29689202","0","","123687_1126.jpg"
"0567","1","1","11","LUCS","EPSG:32636","392081.729310047","1316176.46307354","0","","123687_1133.jpg"
"0567","1","1","13","LUCS","EPSG:32636","392089.003410945","1316295.81859576","180","","123687_1139.jpg"
"0567","2","1","15","LUCS","EPSG:32636","392077.080505657","1316545.69401084","90","","123687_1302.jpg"
"0435","1","1","1","Crop production","EPSG:32635","648197.00781749","1372888.81306641","0","","10599_54.jpg"
"0435","2","1","1","Crop production and regeneration of acacia  Senegal","EPSG:32635","648190.897548851","1373386.8520613","90","","10599_452.jpg"
"0435","3","1","1","Land use crop","EPSG:32635","648696.428181094","1373385.86472964","180","","10599_965.jpg"
"0435","4","1","1","Slope","EPSG:32635","648706.295978996","1372878.98379924","270","","10599_1286.jpg"
"0518","1","1","2","Lucs","EPSG:32635","752263.0","1392960.0","5","","6888_1104.jpg"
"0518","2","1","1","LUCS in plot 2","EPSG:32635","752263.582287145","1393463.47053737","90","","6888_540.jpg"
"0518","3","1","1","LUCS in plot 3 sp1","EPSG:32635","752768.0","1393458.0","180","","6888_765.jpg"
"0518","4","1","1","LUCS and teams member","EPSG:32634","752768.0","1392958.0","10","","6888_926.jpg"
"0558","1","1","102841","Crop area","EPSG:32635","669473.296148359","1315799.82340453","180","","23144_446.jpg"
"0558","2","1","104658","OCA","EPSG:32635","669471.090229538","1316050.74388836","90","","23144_608.jpg"
"0558","3","1","1","OCA","EPSG:32635","669971.0","1316054.0","180","",""
"0558","4","1","1","Oca","EPSG:32635","669978.16012193","1315547.12409722","270","","23144_959.jpg"
"0614","1","1","1","Land use","EPSG:32635","670013.91841734","1239110.51487788","0","","72937_239.jpg"
"0614","1","1","2","Land use","EPSG:32635","670015.924439119","1239229.39117004","0","","72937_564.jpg"
"0614","1","1","3","Land use","EPSG:32635","670017.05217448","1239347.45920163","180","","72937_604.jpg"
"0614","2","1","1","Land use","EPSG:32635","670021.743344688","1239606.99961952","90","","72937_758.jpg"
"0614","2","1","2","Land use","EPSG:32635","670143.430647652","1239613.73345545","90","","72937_1062.jpg"
"0614","2","1","3","Land use","EPSG:32635","670257.628616046","1239611.29046584","270","","72937_1068.jpg"
"0614","3","1","1","Land use","EPSG:32635","670524.236854962","1239574.3927984","180","","72937_1138.jpg"
"0614","3","1","2","Land use","EPSG:32635","670512.657032831","1239364.66740494","0","","72937_1167.jpg"
"0614","4","1","1","Land use","EPSG:32635","670510.473255491","1239103.90304824","270","","72937_1330.jpg"
"0614","4","1","2","Land use","EPSG:32635","670370.419907446","1239118.57809409","270","","72937_1345.jpg"
"0614","4","1","3","Land use","EPSG:32635","670261.620752852","1239105.0496986","90","","72937_1408.jpg"
"0615","3","1","1","Land use","EPSG:32635","712424.435413189","1239910.48642981","180","","68072_250.jpg"
"0615","3","1","2","Land use","EPSG:32635","712444.840403262","1239798.58787538","180","","68072_308.jpg"
"0615","4","1","1","Land use","EPSG:32635","712429.667983096","1239420.37800805","270","","68072_493.jpg"
"0615","4","1","2","Land use","EPSG:32635","712304.481858938","1239416.02141183","270","","68072_499.jpg"
"0615","4","1","3","Land use","EPSG:32635","712183.912561766","1239420.42899196","90","","68072_1648.jpg"
"0615","1","1","1","Land use","EPSG:32635","711924.432778409","1239422.7390523","0","","68072_693.jpg"
"0615","2","1","1","Land use","EPSG:32635","711935.782702483","1239921.02389786","90","","68072_864.jpg"
"0615","2","1","2","Land use","EPSG:32635","712051.426319779","1239924.86520692","90","","68072_937.jpg"
"0615","2","1","3","Land use","EPSG:32635","712182.888412551","1239920.73166749","270","","68072_953.jpg"
"0557","2","1","1","Land use","EPSG:32635","627679.542903943","1315790.36150583","60","","14186_255.jpg"
"0557","3","1","1","Land use","EPSG:32635","628178.760019608","1315791.36058449","180","","14186_955.jpg"
"0557","4","1","1","Land use","EPSG:32635","628177.910301341","1315283.54591408","270","","14186_3564.jpg"
"0557","1","1","1","Land use","EPSG:32635","627682.33515927","1315280.84335793","0","","14186_2863.jpg"
"0557","1","1","3","Land use","EPSG:32635","627681.578288471","1315420.30406288","0","","14186_3143.jpg"
"0557","1","1","1","Land use","EPSG:32635","627685.077406528","1315540.1546237","180","","14186_3471.jpg"
"0825","1","1","1","LUCS","EPSG:32636","371209.403542444","1335218.11154331","0","","121962_255.jpg"
"0825","1","1","4","LUCS","EPSG:32636","371210.006104789","1335339.37024291","0","","121962_262.jpg"
"0825","1","1","5","LUCS","EPSG:32636","371206.690586094","1335463.82242508","180","","121962_268.jpg"
"0825","2","1","7","LUCS","EPSG:32636","371212.273809025","1335715.82859533","90","","121962_427.jpg"
"0825","2","1","8","LUCS","EPSG:32636","371332.240570599","1335718.34530936","90","","121962_434.jpg"
"0825","2","1","10","LUCS","EPSG:32636","371460.99548144","1335715.81499473","270","","121962_440.jpg"
"0825","3","1","11","LUCS","EPSG:32636","371709.125664608","1335716.26138008","180","","121962_599.jpg"
"0825","3","1","12","LUCS","EPSG:32636","371707.870668826","1335582.27264341","180","","121962_606.jpg"
"0825","3","1","13","LUCS","EPSG:32636","371711.066465905","1335472.4883366","0","","121962_612.jpg"
"0825","4","1","14","LUCS","EPSG:32636","371711.03212553","1335218.87220478","270","","121962_771.jpg"
"0825","4","1","16","LUCS","EPSG:32636","371587.866023442","1335215.51483652","270","","121962_778.jpg"
"0825","4","1","17","LUCS","EPSG:32636","371458.884165087","1335217.62517995","90","","121962_784.jpg"
"0594","1","1","3","LUCS","EPSG:32636","392072.150026197","1277809.29077644","0","","119084_250.jpg"
"0594","1","1","5","LUCS","EPSG:32636","392071.93649124","1277926.55164282","0","","119084_256.jpg"
"0594","1","1","6","LUCS","EPSG:32636","392070.551386629","1278054.89609514","180","","119084_262.jpg"
"0594","2","1","8","LUCS","EPSG:32636","392064.279102246","1278300.97582815","90","","119084_427.jpg"
"0594","2","1","9","LUCS","EPSG:32636","392195.723379428","1278297.65811074","90","","119084_443.jpg"
"0594","2","1","10","LUCS","EPSG:32636","392320.537840028","1278303.07294971","270","","119084_449.jpg"
"0594","3","1","1","LUCS","EPSG:32636","392576.082169699","1278305.53410585","180","","119084_608.jpg"
"0594","3","1","3","LUCS","EPSG:32636","392574.532095047","1278181.47045031","180","","119084_615.jpg"
"0594","3","1","4","LUCS","EPSG:32636","392572.673980334","1278054.43746223","0","","119084_621.jpg"
"0594","4","1","1","LUCS","EPSG:32636","392571.822078776","1277803.00512591","270","","119084_780.jpg"
"0594","4","1","3","LUCS","EPSG:32636","392448.303612048","1277806.01387678","270","","119084_787.jpg"
"0594","4","1","5","LUCS","EPSG:32636","392323.559233779","1277807.57001772","90","","119084_793.jpg"
"0445","4","1","1","Wg","EPSG:32635","565404.801317461","1334169.88417073","270","","24558_251.jpg"
"0445","1","1","1","Wg","EPSG:32635","564927.943844721","1334161.11161051","0","","24558_525.jpg"
"0445","1","1","2","Wg","EPSG:32635","564933.695202339","1334413.50835253","180","","24558_985.jpg"
"0445","2","1","2","Oca","EPSG:32635","564954.375084245","1334669.26446858","90","","24558_1144.jpg"
"0445","2","1","3","Oca","EPSG:32635","565188.716938518","1334668.73062022","270","","24558_1290.jpg"
"0445","3","1","1","Wg","EPSG:32635","565470.315266435","1334604.59013869","180","","24558_1449.jpg"
"0445","3","1","2","Wg","EPSG:32635","565433.962334658","1334488.48102294","180","","24558_1507.jpg"
"0445","3","1","3","Wg","EPSG:32635","565443.976193683","1334415.02625627","0","","24558_1513.jpg"
"0432","1","1","1","Wooded grasslands","EPSG:32635","523113.912435327","1372380.01028725","0","","26351_244.jpg"
"0432","1","1","114617","Wooded grassland","EPSG:32635","523108.015170283","1372623.32925676","180","","26351_330.jpg"
"0432","2","1","120713","Wooded grassland","EPSG:32635","523109.43572838","1372881.92115153","90","","26351_489.jpg"
"0432","3","1","124016","Wooded grassland","EPSG:32635","523610.804520262","1372882.80395504","180","","26351_700.jpg"
"0432","3","2","130137","OCA","EPSG:32635","523611.204885852","1372758.72696866","180","","26351_827.jpg"
"0432","4","1","134031","OCA","EPSG:32635","523613.866228584","1372381.30943756","270","","26351_1050.jpg"
"0901","3","1","1","Land use","EPSG:32635","649681.972428991","1220401.17555062","180","","80494_53.jpg"
"0901","3","1","2","Land use","EPSG:32635","649661.984935282","1220275.03520415","180","","80494_60.jpg"
"0901","3","1","3","Land use","EPSG:32635","649677.06105327","1220158.47836353","0","","80494_280.jpg"
"0901","4","1","1","Land use","EPSG:32635","649665.698338907","1219897.07079503","270","","80494_439.jpg"
"0901","4","1","2","Land use","EPSG:32635","649558.711480881","1219896.04639301","270","","80494_463.jpg"
"0901","4","1","3","Land use","EPSG:32635","649428.454572004","1219903.24996998","90","","80494_484.jpg"
"0901","1","1","1","Land use","EPSG:32635","649169.480896868","1219897.78188878","0","","80494_638.jpg"
"0901","2","1","2","Land use","EPSG:32635","649308.050738875","1220403.21058635","90","","80494_814.jpg"
"0901","2","1","3","Land use","EPSG:32635","649429.764584789","1220403.46445197","270","","80494_854.jpg"
"0899","1","1","1","Lus","EPSG:32635","565313.0","1219529.0","0","","33136_58.jpg"
"0899","2","1","1","Lus","EPSG:32635","565358.65850133","1220024.89101692","90","","33136_440.jpg"
"0899","2","1","2","Lus","EPSG:32635","565379.253765842","1220013.79023282","270","","33136_446.jpg"
"0899","3","1","1","Lus","EPSG:32635","565810.770497376","1219780.54159615","0","","33136_635.jpg"
"0899","4","1","1","Lus","EPSG:32635","565810.0220638","1219520.83537565","270","","33136_899.jpg"
"0899","4","1","2","Lus","EPSG:32635","565578.455191978","1219506.54576734","-90","","33136_1323.jpg"
"0644","4","1","1","Land use","EPSG:32635","712732.585138204","1201261.36346785","270","","65649_250.jpg"
