"su_su_no","plot_plot_no","lsp_no","lsp_lucs_no","litter_depth","litter_depth_unit_name","litter_composition"
"0622","3","3","1","1.0","","2"
"0622","4","1","1","1.0","","2"
"0622","4","2","1","1.0","","2"
"0622","4","3","1","1.0","","2"
"0799","2","1","1","0.0","","2"
"0799","2","2","1","0.0","","2"
"0799","2","3","1","0.0","","2"
"0799","3","1","1","0.0","","2"
"0799","3","2","1","0.0","","2"
"0799","3","3","1","0.0","","2"
"0799","4","1","","","",""
"0799","4","2","","","",""
"0799","4","3","","","",""
"0799","1","1","","","",""
"0799","1","2","","","",""
"0799","1","3","","","",""
"0910","3","1","1","1.0","","2"
"0910","3","2","1","5.0","","1"
"0910","3","3","1","3.0","","2"
"0910","4","1","1","3.0","","1"
"0910","4","2","1","5.0","","2"
"0910","4","3","1","7.0","","2"
"0871","1","1","1","1.0","","2"
"0871","1","2","1","0.0","","2"
"0871","1","3","1","3.0","","2"
"0871","2","1","1","6.0","","2"
"0871","2","2","1","2.0","","2"
"0871","2","3","1","0.0","","2"
"0871","3","1","1","5.0","","1"
"0871","3","2","1","5.0","","2"
"0871","3","3","1","2.0","","2"
"0871","4","1","1","8.0","","2"
"0871","4","2","1","4.0","","2"
"0871","4","3","1","5.0","","2"
"0613","1","1","1","5.0","","2"
"0613","1","2","1","8.0","","2"
"0613","1","3","1","10.0","","2"
"0613","2","1","1","4.0","","2"
"0613","2","2","1","4.0","","2"
"0613","2","3","1","10.0","","2"
"0613","3","1","1","2.0","","2"
"0613","3","2","1","2.0","","2"
"0613","3","3","1","2.0","","2"
"0613","4","1","1","5.0","","2"
"0613","4","2","1","2.0","","2"
"0613","4","3","1","5.0","","2"
"0522","1","1","1","2.0","","2"
"0522","1","2","1","1.0","","2"
"0522","1","3","1","2.0","","2"
"0522","2","1","1","2.0","","2"
"0522","2","2","1","1.0","","2"
"0522","2","3","1","2.0","","2"
"0522","3","1","1","1.0","","2"
"0522","3","2","1","2.0","","1"
"0522","3","3","1","1.0","","2"
"0522","4","1","1","2.0","","2"
"0522","4","2","1","3.0","","2"
"0522","4","3","1","2.0","","2"
"0640","1","1","1","3.0","","2"
"0640","1","2","1","3.0","","2"
"0640","1","3","1","1.0","","2"
"0640","2","1","1","2.0","","2"
"0640","2","2","1","1.0","","2"
"0640","2","3","1","2.0","","2"
"0640","3","1","1","2.0","","2"
"0640","3","2","1","0.0","","2"
"0640","3","3","1","1.0","","2"
"0640","4","1","1","2.0","","2"
"0640","4","2","1","1.0","","2"
"0640","4","3","1","1.0","","2"
"0567","3","1","1","3.0","","2"
"0567","3","2","1","1.0","","2"
"0567","3","3","1","4.0","","2"
"0567","4","1","1","3.0","","2"
"0567","4","2","1","3.0","","2"
"0567","4","3","1","7.0","","2"
"0567","1","1","1","1.0","","2"
