"su_su_no","plot_plot_no","_subplot_lu_position","subplot_no","rectangular_sp","circular_sp","sp_lucs_no","sp_area","sp_area_unit_name"
"0695","2","2","2","false","true","1","100",""
"0695","2","3","3","false","true","1","100",""
"0695","3","1","","false","true","","",""
"0695","3","2","","false","true","","",""
"0695","3","3","3","false","true","1","100",""
"0695","4","1","1","false","true","1","100",""
"0695","4","2","2","false","true","1","100",""
"0695","4","3","3","false","true","1","100",""
"0543","1","1","1","false","true","1","100",""
"0543","1","2","2","false","true","1","100",""
"0543","1","3","3","false","true","1","100",""
"0543","2","1","1","false","true","1","100",""
"0543","2","2","2","false","true","1","100",""
"0543","2","3","3","false","true","1","100",""
"0543","3","1","1","false","true","1","100",""
"0543","3","2","2","false","true","1","100",""
"0543","3","3","3","false","true","1","100",""
"0543","4","1","1","false","true","1","100",""
"0543","4","2","2","false","true","1","100",""
"0543","4","3","3","false","true","1","100",""
"0960","1","1","1","true","false","1","100",""
"0960","1","2","2","true","false","1","100",""
"0960","1","3","3","true","false","1","100",""
"0960","2","1","1","false","true","1","100",""
"0960","2","2","2","false","true","1","100",""
"0960","2","3","3","false","true","1","100",""
"0960","3","1","1","false","true","1","100",""
"0960","3","2","2","false","true","1","100",""
"0960","3","3","3","false","true","1","100",""
"0960","4","1","1","false","true","1","100",""
"0960","4","2","2","false","true","1","100",""
"0960","4","3","3","false","true","1","100",""
"0797","1","1","1","true","false","1","100",""
"0797","1","2","2","false","true","1","100",""
"0797","1","3","3","true","false","1","100",""
"0797","2","1","1","false","true","1","100",""
"0797","2","2","2","true","false","1","100",""
"0797","2","3","3","true","false","1","100",""
"0797","3","1","1","false","true","1","100",""
"0797","3","2","2","false","true","1","100",""
"0797","3","3","3","false","true","1","100",""
"0797","4","1","1","false","true","1","100",""
"0797","4","2","2","false","true","1","100",""
"0797","4","3","3","false","true","1","100",""
"0902","4","1","1","false","true","1","100",""
"0902","4","2","2","false","true","1","100",""
"0902","4","3","","false","true","","",""
"0902","1","1","","false","true","","",""
"0902","1","2","","false","true","","",""
"0902","1","3","","false","true","","",""
"0902","2","1","","false","true","","",""
"0902","2","2","","false","true","","",""
"0902","2","3","","false","true","","",""
"0902","3","1","1","true","false","1","100",""
"0902","3","2","2","true","false","1","100",""
"0902","3","3","3","true","false","1","100",""
"0433","1","1","1","false","true","1","100",""
"0433","1","2","2","false","true","1","100",""
"0433","1","3","3","true","false","1","100",""
"0433","2","1","1","true","false","1","100",""
"0433","2","2","2","true","false","2","100",""
"0433","2","3","3","true","false","2","100",""
"0433","3","1","1","true","false","1","100",""
"0433","3","2","2","true","false","1","100",""
"0433","3","3","3","true","false","2","100",""
"0433","4","1","1","true","false","1","100",""
"0433","4","2","2","false","true","1","100",""
"0433","4","3","3","false","true","1","100",""
"0645","1","1","1","false","true","1","100",""
"0645","1","2","2","false","true","1","100",""
"0645","1","3","3","false","true","1","100",""
"0645","2","1","1","true","false","1","100",""
"0645","2","2","2","true","false","1","100",""
"0645","2","3","3","true","false","2","100",""
"0645","3","1","1","true","false","1","100",""
"0645","3","2","2","true","false","1","100",""
"0645","3","3","3","true","false","1","100",""
"0645","4","1","1","false","true","1","100",""
"0645","4","2","2","false","true","1","100",""
"0645","4","3","3","false","true","1","100",""
"0978","1","1","1","false","true","1","100",""
"0978","1","2","2","false","true","1","100",""
"0978","1","3","3","false","true","1","100",""
"0978","2","1","1","false","true","1","100",""
"0978","2","2","2","false","true","1","100",""
"0978","2","3","3","false","true","1","100",""
"0978","3","1","1","false","true","1","100",""
"0978","3","2","2","false","true","1","100",""
"0978","3","3","3","false","true","1","100",""
"0978","4","1","1","false","true","1","100",""
"0978","4","2","2","false","true","1","100",""
"0978","4","3","3","false","true","1","100",""
"0953","2","1","1","true","false","1","100",""
"0953","2","2","2","false","true","1","100",""
"0953","2","3","3","false","true","1","100",""
"0953","3","1","1","false","true","1","100",""
"0953","3","2","2","false","true","1","100",""
"0953","3","3","3","true","false","1","100",""
"0953","4","1","1","false","true","1","100",""
"0953","4","2","2","true","false","1","100",""
"0953","4","3","3","false","true","1","100",""
"0953","1","1","1","true","false","1","100",""
"0953","1","2","2","false","true","1","100",""
"0953","1","3","3","true","false","1","100",""
"0622","1","1","1","false","true","1","100",""
"0622","1","2","2","false","true","1","100",""
"0622","1","3","3","false","true","1","100",""
"0622","2","1","1","false","true","1","100",""
"0622","2","2","2","false","true","1","100",""
"0622","2","3","3","false","true","1","100",""
"0622","3","1","1","false","true","1","100",""
"0622","3","2","2","false","true","1","100",""
"0622","3","3","3","false","true","1","100",""
"0622","4","1","1","false","true","1","100",""
"0622","4","2","2","false","true","1","100",""
"0622","4","3","3","false","true","1","100",""
"0799","2","1","1","false","true","1","100",""
