"su_su_no","plot_plot_no","tree_lucs","lucc","tree_no","tree_or_stump","tree_species_code","tree_species_scientific_name","tree_species_vernacular_name","tree_species_language_code","tree_species_language_variety","other_species","tree_axis_distance","tree_axis_distance_unit_name","tree_left_axis","tree_left_axis_unit_name","tree_right_axis","tree_right_axis_unit_name","diameter","diameter_unit_name","tree_dbh","tree_dbh_unit_name","tree_diameter_height","tree_diameter_height_unit_name","years_since_cut","tree_height","tree_height_unit_name","tree_bole_height","tree_bole_height_unit_name","stem_quality","crown_condition","overall_tree_condition","causative_agent[1]","causative_agent_qualifier[1]","causative_agent[2]","causative_agent_qualifier[2]","causative_agent[3]","causative_agent_qualifier[3]","decomposition_status","branch1_diameter","branch1_diameter_unit_name","branch1_length","branch1_length_unit_name","branch2_diameter","branch2_diameter_unit_name","branch2_length","branch2_length_unit_name","branch3_diameter","branch3_diameter_unit_name","branch3_length","branch3_length_unit_name","branch4_diameter","branch4_diameter_unit_name","branch4_length","branch4_length_unit_name"
"0928","3","1","FSD","1","tree","ALB/AMA","Albizia amara","","","","","6.0","","8.0","","","","41.0","","40.0","","0.5","","","4.0","","0.6","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","3","1","FSD","2","tree","BAL/AEG","Balanites aegyptiaca","","","","","52.0","","","","6.0","","51.0","","42.0","","1.3","","","9.0","","1.7","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","3","1","FSD","3","tree","ACA/SEN","Acacia senegal","","","","","80.0","","7.0","","","","13.0","","11.0","","1.0","","","4.0","","1.1","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","3","1","FSD","4","tree","BAL/AEG","Balanites aegyptiaca","","","","","83.0","","5.0","","","","19.0","","12.0","","1.3","","","7.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","3","1","FSD","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0928","3","1","FSD","6","tree","BAL/AEG","Balanites aegyptiaca","","","","","84.0","","","","7.0","","34.0","","33.0","","0.5","","","8.0","","0.7","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","3","1","FSD","7","tree","TER/BRO","Terminalia brownii","","","","","90.0","","","","3.0","","40.0","","41.0","","1.3","","","9.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","3","1","FSD","8","tree","ACA/SEN","Acacia senegal","","","","","91.0","","2.0","","","","18.0","","15.0","","1.3","","","6.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","3","1","FSD","9","tree","ACA/SEN","Acacia senegal","","","","","92.0","","4.0","","","","14.0","","12.0","","1.3","","","6.0","","1.5","","1","5","4","2","","","","","","5","","","","","","","","","","","","","","","",""
"0928","3","1","FSD","10","tree","ACA/SEN","Acacia senegal","","","","","96.0","","","","5.0","","19.0","","18.0","","1.3","","","6.0","","1.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","3","1","FSD","11","tree","SCL/BIR","Sclerocarya birrea","","","","","99.0","","3.0","","","","31.0","","28.0","","1.3","","","10.0","","3.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","3","1","FSD","12","tree","","","","","","","101.0","","6.0","","","","20.0","","18.0","","0.5","","","4.0","","0.9","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","3","1","FSD","13","tree","ACA/SEN","Acacia senegal","","","","","100.0","","0.5","","","","12.0","","12.0","","","","","7.0","","2.0","","1","5","5","6","","","","","","5","","","","","","","","","","","","","","","",""
"0928","3","1","FSD","14","tree","ACA/SEN","Acacia senegal","","","","","112.0","","6.0","","","","17.0","","16.0","","1.0","","","5.0","","1.3","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","3","1","FSD","15","tree","ACA/SEN","Acacia senegal","","","","","120.0","","2.0","","","","17.0","","16.0","","1.0","","","6.0","","1.2","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","3","1","FSD","16","tree","ALB/AMA","Albizia amara","","","","","122.0","","0.5","","","","14.0","","14.0","","0.5","","","5.0","","0.9","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","3","1","FSD","17","tree","ACA/SEN","Acacia senegal","","","","","133.0","","","","1.0","","13.0","","12.0","","0.6","","","4.0","","0.7","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","3","1","FSD","18","tree","ACA/SEN","Acacia senegal","","","","","137.0","","5.0","","","","16.0","","16.0","","0.3","","","4.0","","0.4","","1","5","4","6","","","","","","5","","","","","","","","","","","","","","","",""
"0928","3","1","FSD","19","tree","ACA/SEN","Acacia senegal","","","","","138.0","","","","1.0","","14.0","","14.0","","0.5","","","4.0","","0.7","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","3","1","FSD","20","tree","ACA/SEN","Acacia senegal","","","","","140.0","","","","4.0","","16.0","","16.0","","1.0","","","5.0","","1.2","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","3","1","FSD","21","tree","ACA/SEN","Acacia senegal","","","","","142.0","","","","1.0","","11.0","","11.0","","1.3","","","5.0","","1.5","","1","5","5","6","","","","","","5","","","","","","","","","","","","","","","",""
"0928","3","1","FSD","22","tree","ACA/SEN","Acacia senegal","","","","","142.0","","2.0","","","","12.0","","12.0","","0.7","","","5.0","","0.8","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","3","1","FSD","23","tree","ACA/SEN","Acacia senegal","","","","","147.0","","4.0","","","","13.0","","13.0","","1.3","","","6.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","3","1","FSD","24","tree","ACA/SEN","Acacia senegal","","","","","226.0","","","","3.0","","12.0","","12.0","","0.5","","","5.0","","","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","4","1","FSD","1","tree","ALB/AMA","Albizia amara","","","","","12.0","","8.0","","","","32.0","","32.0","","0.7","","","7.0","","1.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","4","1","FSD","2","tree","ALB/AMA","Albizia amara","","","","","31.0","","","","3.0","","42.0","","41.0","","0.5","","","8.0","","0.7","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
