"su_su_no","plot_plot_no","mp_no","mp_lucs_no","slope","slope_unit_name","slope_orientation","slope_orientation_unit_name","relief","relief_qualifier","mp_photo_no","mp_photo_bearing","mp_photo_bearing_unit_name","organic_layer_thickness","organic_layer_thickness_unit_name","soil_drainage"
"0567","2","1","1","5.4","","90.0","","8","","1","90.0","","2.0","","3"
"0567","2","2","1","5.2","","160.0","","8","","2","160.0","","2.0","","3"
"0567","2","3","1","1.4","","200.0","","8","","3","200.0","","10.0","","3"
"0435","1","1","1","0.0","","0.0","","8","","1","0.0","","0.0","","3"
"0435","1","2","1","0.0","","0.0","","8","","2","0.0","","1.0","","3"
"0435","1","3","1","0.0","","180.0","","8","","3","180.0","","3.0","","3"
"0435","2","1","1","0.0","","90.0","","8","","1","90.0","","2.0","","3"
"0435","2","2","1","0.0","","90.0","","8","","2","90.0","","0.0","","3"
"0435","2","3","1","0.0","","90.0","","8","","3","90.0","","3.0","","3"
"0435","3","1","1","0.0","","180.0","","8","","1","180.0","","2.0","","4"
"0435","3","2","1","0.0","","180.0","","8","","2","180.0","","2.0","","3"
"0435","3","3","1","0.0","","0.0","","8","","3","0.0","","0.0","","3"
"0435","4","1","1","0.0","","270.0","","8","","1","270.0","","0.0","","3"
"0435","4","2","1","0.0","","270.0","","8","","2","270.0","","0.0","","3"
"0435","4","3","1","0.0","","90.0","","8","","3","90.0","","0.0","","3"
"0518","1","1","1","0.0","","0.0","","8","","1","0.0","","0.0","","3"
"0518","1","2","1","0.0","","0.0","","8","","2","0.0","","0.0","","3"
"0518","1","3","1","0.0","","180.0","","8","","3","180.0","","0.0","","3"
"0518","2","1","1","0.0","","90.0","","8","","1","90.0","","0.0","","3"
"0518","2","2","1","0.0","","90.0","","8","","2","90.0","","0.0","","3"
"0518","2","3","1","5.0","","270.0","","8","","3","270.0","","0.0","","4"
"0518","3","1","1","0.0","","180.0","","8","","1","180.0","","0.0","","4"
"0518","3","2","1","0.0","","180.0","","8","","2","180.0","","0.0","","4"
"0518","3","3","1","0.0","","0.0","","8","","3","0.0","","0.0","","4"
"0518","4","1","1","0.0","","270.0","","8","","1","270.0","","0.0","","4"
"0518","4","2","1","0.0","","270.0","","8","","2","270.0","","0.0","","4"
"0518","4","3","1","0.0","","90.0","","8","","3","90.0","","0.0","","3"
"0558","1","1","1","2.5","","0.0","","8","","1","0.0","","0.0","","3"
"0558","1","2","1","2.5","","0.0","","8","","2","0.0","","0.0","","3"
"0558","1","3","1","2.5","","180.0","","8","","3","180.0","","0.0","","3"
"0558","2","1","1","1.6","","90.0","","8","","1","90.0","","0.0","","3"
"0558","2","2","1","2.5","","90.0","","8","","2","90.0","","0.0","","3"
"0558","2","3","1","3.2","","270.0","","8","","3","270.0","","0.0","","3"
"0558","3","1","1","3.5","","180.0","","8","","1","180.0","","0.0","","3"
"0558","3","2","1","3.5","","180.0","","8","","2","180.0","","0.0","","3"
"0558","3","3","1","3.0","","0.0","","8","","3","0.0","","0.0","","3"
"0558","4","1","1","2.3","","270.0","","8","","1","270.0","","0.0","","3"
"0558","4","2","1","2.3","","270.0","","8","","2","270.0","","0.0","","3"
"0558","4","3","1","1.8","","90.0","","8","","3","90.0","","0.0","","3"
"0614","1","1","1","1.8","","0.0","","8","","1","0.0","","0.0","","3"
"0614","1","2","1","3.0","","0.0","","8","","2","0.0","","5.0","","3"
"0614","1","3","1","4.4","","180.0","","8","","3","180.0","","8.0","","3"
"0614","2","1","1","2.6","","90.0","","8","","1","90.0","","2.0","","3"
"0614","2","2","1","4.2","","90.0","","8","","2","90.0","","6.0","","3"
"0614","2","3","1","6.7","","180.0","","8","","3","180.0","","4.0","","3"
"0614","3","1","1","3.5","","120.0","","8","","1","120.0","","10.0","","3"
"0614","3","2","1","5.0","","0.0","","8","","2","0.0","","7.0","","3"
"0614","3","3","1","3.6","","90.0","","8","","3","90.0","","2.0","","3"
"0614","4","1","1","2.6","","270.0","","8","","1","270.0","","5.0","","3"
"0614","4","2","1","5.1","","180.0","","8","","2","180.0","","5.0","","3"
"0614","4","3","1","4.7","","180.0","","8","","3","180.0","","11.0","","3"
"0615","3","1","1","2.9","","180.0","","8","","1","180.0","","15.0","","3"
"0615","3","2","1","4.1","","0.0","","8","","2","0.0","","4.0","","3"
"0615","3","3","1","6.9","","90.0","","8","","3","90.0","","5.0","","3"
"0615","4","1","1","4.1","","180.0","","8","","1","180.0","","17.0","","3"
"0615","4","2","1","7.0","","180.0","","8","","2","180.0","","6.0","","3"
"0615","4","3","1","8.4","","110.0","","8","","3","110.0","","5.0","","3"
"0615","1","1","1","2.7","","0.0","","8","","1","0.0","","8.0","","3"
"0615","1","2","1","3.0","","0.0","","8","","2","0.0","","11.0","","3"
"0615","1","3","1","5.4","","180.0","","8","","3","180.0","","5.0","","3"
"0615","2","1","1","3.1","","90.0","","8","","1","90.0","","7.0","","3"
"0615","2","2","1","4.7","","85.0","","8","","2","85.0","","7.0","","3"
"0615","2","3","1","7.2","","220.0","","8","","3","220.0","","7.0","","3"
"0557","2","1","1","0.0","","90.0","","8","","1","90.0","","0.0","","3"
"0557","2","2","1","5.0","","90.0","","8","","2","90.0","","0.0","","3"
"0557","2","3","1","0.0","","270.0","","8","","3","270.0","","0.0","","3"
"0557","3","1","1","0.0","","180.0","","8","","1","180.0","","0.0","","3"
"0557","3","2","1","0.0","","180.0","","8","","2","180.0","","0.0","","3"
"0557","3","3","1","0.0","","0.0","","8","","3","0.0","","0.0","","3"
"0557","4","1","1","5.0","","270.0","","8","","1","270.0","","0.0","","3"
"0557","4","2","1","5.0","","270.0","","8","","2","270.0","","0.0","","3"
"0557","4","3","1","5.0","","90.0","","8","","3","90.0","","0.0","","3"
"0557","1","1","1","5.0","","0.0","","8","","1","0.0","","0.0","","0"
"0557","1","2","1","0.0","","0.0","","8","","2","0.0","","0.0","","3"
"0557","1","3","1","5.0","","180.0","","8","","3","180.0","","0.0","","3"
"0825","1","1","1","1.8","","180.0","","8","","1","180.0","","6.0","","3"
"0825","1","2","1","1.9","","180.0","","8","","2","180.0","","5.0","","3"
"0825","1","3","1","1.5","","180.0","","8","","3","180.0","","5.0","","3"
"0825","2","1","1","1.6","","180.0","","8","","1","180.0","","4.0","","3"
"0825","2","2","1","1.5","","180.0","","8","","2","180.0","","4.0","","3"
"0825","2","3","1","2.5","","180.0","","8","","3","180.0","","3.0","","3"
"0825","3","1","1","1.5","","270.0","","8","","1","270.0","","2.0","","3"
"0825","3","2","1","3.0","","270.0","","8","","2","270.0","","5.0","","3"
"0825","3","3","1","3.1","","180.0","","8","","3","180.0","","5.0","","3"
"0825","4","1","1","3.1","","225.0","","8","","1","225.0","","4.0","","3"
"0825","4","2","1","5.1","","180.0","","8","","2","180.0","","4.0","","3"
"0825","4","3","1","4.1","","180.0","","8","","3","180.0","","2.0","","3"
"0594","1","1","1","1.9","","0.0","","8","","1","0.0","","6.0","","3"
"0594","1","2","1","1.0","","0.0","","8","","2","0.0","","5.0","","3"
"0594","1","3","1","1.1","","0.0","","8","","3","0.0","","4.0","","3"
"0594","2","1","1","3.2","","180.0","","8","","1","180.0","","12.0","","3"
"0594","2","2","1","1.2","","270.0","","8","","2","270.0","","20.0","","3"
"0594","2","3","1","1.7","","270.0","","8","","3","270.0","","8.0","","3"
"0594","3","1","1","1.9","","180.0","","8","","1","180.0","","7.0","","4"
"0594","3","2","1","2.0","","180.0","","8","","2","180.0","","6.0","","3"
"0594","3","3","1","7.0","","0.0","","8","","3","0.0","","4.0","","3"
"0594","4","1","1","2.3","","0.0","","8","","1","0.0","","9.0","","3"
"0594","4","2","1","2.3","","0.0","","8","","2","0.0","","15.0","","3"
"0594","4","3","1","1.0","","0.0","","8","","3","0.0","","7.0","","3"
"0445","4","1","1","1.0","","270.0","","8","","1","270.0","","1.0","","3"
"0445","4","2","1","2.5","","270.0","","8","","2","270.0","","0.0","","3"
"0445","4","3","1","2.4","","90.0","","8","","3","90.0","","0.0","","3"
"0445","1","1","1","1.0","","0.0","","8","","1","0.0","","0.0","","3"
"0445","1","2","1","2.8","","0.0","","8","","2","0.0","","0.0","","3"
"0445","1","3","1","7.8","","180.0","","8","","3","180.0","","0.0","","3"
"0445","2","1","1","2.4","","90.0","","8","","1","90.0","","0.0","","3"
"0445","2","2","1","0.3","","90.0","","8","","2","90.0","","0.0","","3"
"0445","2","3","1","3.0","","270.0","","8","","3","270.0","","0.0","","3"
"0445","3","1","1","2.4","","180.0","","8","","1","180.0","","2.0","","3"
"0445","3","2","1","0.5","","180.0","","8","","2","180.0","","1.0","","3"
"0445","3","3","1","1.8","","0.0","","8","","3","0.0","","1.0","","3"
"0432","1","1","1","2.0","","0.0","","4","","1","0.0","","0.0","","3"
"0432","1","2","1","3.0","","0.0","","8","","2","0.0","","0.0","","3"
"0432","1","3","1","2.0","","180.0","","8","","3","180.0","","0.0","","3"
"0432","2","1","1","6.0","","90.0","","3","","1","90.0","","0.0","","3"
"0432","2","2","1","0.4","","90.0","","8","","2","90.0","","3.0","","3"
"0432","2","3","1","1.7","","270.0","","8","","3","270.0","","2.0","","3"
"0432","3","1","1","3.1","","180.0","","4","","1","180.0","","3.0","","3"
"0432","3","2","2","2.1","","180.0","","8","","2","180.0","","0.0","","3"
