"su_su_no","plot_no","plot_access_plot_location_given_srs","plot_access_plot_location_given_x","plot_access_plot_location_given_y","plot_access_plot_starting_position_srs","plot_access_plot_starting_position_x","plot_access_plot_starting_position_y","plot_access_plot_start_time_hour","plot_access_plot_start_time_minute","plot_access_plot_end_time_hour","plot_access_plot_end_time_minute","time_work_within_plot_day_1_date_day_1_year","time_work_within_plot_day_1_date_day_1_month","time_work_within_plot_day_1_date_day_1_day","time_work_within_plot_day_1_plot_start_time_d1_hour","time_work_within_plot_day_1_plot_start_time_d1_minute","time_work_within_plot_day_1_plot_end_time_d1_hour","time_work_within_plot_day_1_plot_end_time_d1_minute","time_work_within_plot_day_2_date_day_2_year","time_work_within_plot_day_2_date_day_2_month","time_work_within_plot_day_2_date_day_2_day","time_work_within_plot_day_2_plot_start_time_d2_hour","time_work_within_plot_day_2_plot_start_time_d2_minute","time_work_within_plot_day_2_plot_end_time_d2_hour","time_work_within_plot_day_2_plot_end_time_d2_minute","middle_point_plot_middle_point_srs","middle_point_plot_middle_point_x","middle_point_plot_middle_point_y","plot_notes","plot_plan_plot_end_point_srs","plot_plan_plot_end_point_x","plot_plan_plot_end_point_y","plot_plan_plot_plan_scan","plot_plan_total_lucs_found","tree_notes","csp_tree_notes","rsp_shrub_notes","fallen_deadwood_notes","subplots_notes"
"0615","1","EPSG:32635","711930.0","1239418.0","EPSG:32635","711925.314351553","1239413.31597687","15","5","15","12","2018","3","3","15","12","15","42","","","","","","","","","","","","EPSG:32635","711924.58199349","1239664.02484879","68072_568.jpg","1","","No small trees to measure in Csp1and Csp3","No shrub and bushes in Rsp1 , Rsp2 and Rsp3","No fallen dead wood in FDT1 , FDT2 and FDT3",""
"0615","2","EPSG:32635","711930.0","1239918.0","EPSG:32635","711934.090312152","1239920.72012455","15","42","15","54","2018","3","3","15","54","16","45","","","","","","","","EPSG:32635","712052.857300724","1239921.15998308","","EPSG:32635","712183.325287024","1239917.50516944","68072_739.jpg","1","","No small trees to measure in Csp1 , csp2 and Csp3","No shrub and bushes in Rsp1 , Rsp2 and Rsp3","",""
"0557","2","EPSG:32635","627679.0","1315793.0","EPSG:32635","627679.0","1315793.0","9","4","9","8","2017","12","2","9","8","10","33","","","","","","","","EPSG:32635","627804.0","1315793.0","","EPSG:32635","627927.859510935","1315793.932948","14186_125.jpg","1","","No small trees to measure in csp 1 and Csp3","No shrubs and bushes to measure in Rsp1, Rsp2 and Rsp3","",""
"0557","3","EPSG:32635","628179.0","1315793.0","EPSG:32635","628180.657079863","1315791.23568294","11","40","11","44","2017","12","2","11","45","13","14","","","","","","","","EPSG:32635","628183.427655011","1315665.49392059","","EPSG:32635","628185.769609977","1315550.4576232","14186_719.jpg","1","","No small trees to measure in Csp1, Csp2and Csp3","No shrubs and bushes to measure in Rsp1, Rsp2 and Rsp3","",""
"0557","4","EPSG:32635","628179.0","1315293.0","EPSG:32635","628181.774088556","1315304.44392183","7","30","9","7","2017","12","3","7","35","8","58","","","","","","","","EPSG:32635","628048.671853245","1315293.06400663","","EPSG:32635","627937.892752742","1315295.15135733","14186_1880.jpg","1","","No small frees in Csp1 and csp2 and csp3andCsp3","No shrub and bushes in Rsp1 and Rsp2and Rsp8","No fallen inFdt2",""
"0557","1","EPSG:32635","627679.0","1315293.0","EPSG:32635","627685.230525593","1315295.42501538","9","8","9","12","2017","12","3","8","13","10","20","","","","","","","","EPSG:32635","627665.906739024","1315419.62392151","","EPSG:32635","627663.184530596","1315542.72695312","14186_2485.jpg","1","","No small trees in Csp1and csp2andcsp3","No small trees incsp1 and2 and3","No fallen dead wood in fdt 1",""
"0825","1","EPSG:32636","371209.0","1335216.0","EPSG:32636","371206.152753619","1335216.24038006","10","29","10","32","2018","4","24","10","32","11","16","","","","","","","","EPSG:32636","371208.751984713","1335341.36852519","","EPSG:32636","371207.982885455","1335463.85201124","121962_125.jpg","1","","No small trees to measure in Csp1, Csp2and Csp3","No shrub and bushes in Rsp1, Rsp2 and Rsp3","No fallen dead wood in FDT1, Fdt2 andFdt3",""
"0825","2","EPSG:32636","371209.0","1335716.0","EPSG:32636","371208.756772604","1335713.1816772","11","16","11","18","2018","4","24","11","19","11","41","","","","","","","","EPSG:32636","371335.830227983","1335717.99713205","","EPSG:32636","371458.527455923","1335713.71119145","121962_297.jpg","1","","No small trees to measure in Csp1, Csp2and Csp3","No shrub and bushes in Rsp1, Rsp2 and Rsp3","No fallen dead wood in FDT1, Fdt2 andFdt3",""
"0825","3","EPSG:32636","371709.0","1335716.0","EPSG:32636","371710.254368984","1335714.7645627","11","41","11","45","2018","4","24","11","46","12","2","","","","","","","","EPSG:32636","371713.441457579","1335587.63976124","","EPSG:32636","371709.487515688","1335465.23618913","121962_469.jpg","1","","No small trees to in Csp1, Csp2and Csp3","No shrub and bushes in Rsp1, Rsp2 and Rsp3","No fallen dead wood in FDT1, Fdt2 andFdt3",""
"0825","4","EPSG:32636","371709.0","1335216.0","EPSG:32636","371709.349890824","1335215.00880887","12","2","12","5","2018","4","24","12","6","12","23","","","","","","","","EPSG:32636","371585.729377301","1335214.85408441","","EPSG:32636","371455.346862273","1335212.89102196","121962_641.jpg","1","","No small trees to measure in Csp1, Csp2and Csp3","No shrub and bushes in Rsp1, Rsp2 and Rsp3","No fallen dead wood in FDT1, Fdt2 andFdt3",""
